radical cu precizie fp64,radical cu precizie double2,radical cu precizie fp128
0.949283541390276,0.94928354139027611026484006562708333,0.9492835413902761029386347408476774
0.368488190926525,0.36848819092652538673400456512523115,0.36848819092652538794421013357929119
0.760835149626987,0.76083514962698736942793875584584854,0.76083514962698742019374076392295779
0.718145999910846,0.71814599991084630023922044029179553,0.71814599991084623300648901522205895
0.660703458112919,0.66070345811291940864960945453295719,0.6607034581129193719199382997464571
0.950320658506377,0.95032065850637725937024528468069581,0.95032065850637725709868560295975806
0.601956933505742,0.60195693350574170377634987302439224,0.60195693350574167363796673601640955
0.909153362861187,0.9091533628611865567137189044988469,0.90915336286118650612310410550341657
0.957670302198488,0.95767030219848820699286601698519958,0.95767030219848818642688319264400796
0.925163406290418,0.92516340629041801668794808750970942,0.92516340629041807219603621530114393
0.908631586837523,0.90863158683752248653770636977692927,0.90863158683752249842452392678291672
0.653931668405372,0.65393166840537200472443418492685481,0.65393166840537203956800653532652987
0.465169982547594,0.46516998254759375660893406964353652,0.46516998254759376304556705779116856
0.62170600647293,0.62170600647293012601452949189813473,0.62170600647293008665462305914604928
0.798180856128363,0.79818085612836267199788942951170239,0.79818085612836270689674005877970908
0.903035718293857,0.90303571829385700816272452390483826,0.90303571829385695494396935795003647
0.916346570157847,0.91634657015784668641313642191349137,0.91634657015784672775313952107566049
0.921254239421275,0.92125423942127472982229755010605251,0.92125423942127469439248307886616162
0.98864666631496,0.98864666631496038056484027419809238,0.98864666631496041749365927950390946
0.911477156791715,0.91147715679171529559395665519894942,0.91147715679171524494569702876649142
0.56015677463213,0.56015677463213034643160766180043615,0.56015677463213038567707609406175375
0.853997921054238,0.85399792105423833371337227381086498,0.85399792105423832472520384963349831
0.688258679336142,0.68825867933614180399540233834766072,0.68825867933614177712063182579146324
0.88507683013443,0.8850768301344302193145138649416368,0.88507683013443021785736262786789642
0.850946438279836,0.85094643827983627155013485128755506,0.85094643827983631339613518400120012
0.349501848194131,0.34950184819413061286342073474923588,0.34950184819413062740491516446364725
0.666996785819638,0.66699678581963822484152302545834696,0.66699678581963825715458287279852986
0.325065199511677,0.32506519951167734501569318605898866,0.32506519951167733199708275126912592
0.874153048551203,0.87415304855120283374923718332287997,0.87415304855120288066312116259439087
0.737512386158491,0.7375123861584908208168040928473274,0.73751238615849084234935016944449245
0.569642973509318,0.56964297350931840168605550942733982,0.56964297350931844724669697130116835
0.903890485548234,0.90389048554823359265041834473143992,0.90389048554823358922961143949302184
0.436428530884895,0.43642853088489483743604412183722006,0.43642853088489482056163415525407139
0.989339884528936,0.98933988452893591676980422272375052,0.98933988452893587767948636057887622
0.978053274084203,0.9780532740842025305796607411110077,0.97805327408420248709154960934490883
0.684856072604324,0.68485607260432359558045433953757909,0.68485607260432361149694565389357343
0.890054792265656,0.89005479226565581268304584459126331,0.89005479226565580197757037622161699
0.417633803956443,0.41763380395644334182031714894505906,0.41763380395644333635834838483319841
0.899222605752052,0.89922260575205230224505796875795025,0.89922260575205224656506255733174437
0.706817637600489,0.70681763760048923103110886613851623,0.70681763760048919401642884595072645
0.831930583929107,0.8319305839291069212295546750911406,0.83193058392910688636147326890836632
0.663694718721472,0.66369471872147155706603311358572597,0.6636947187214715201524854372075557
0.387392748738009,0.38739274873800891883188967347397748,0.38739274873800892323928301377211298
0.427449052179906,0.42744905217990633318574885667933562,0.42744905217990630181785788801059628
0.398467956396233,0.39846795639623291007682079563846575,0.39846795639623294331720106923338512
